,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),shipment_cost
0,South Africa,PMO - US,Direct Drop,DDP,Air,2008-01-29,2008-01-29,2008-01-29,ARV,Pediatric,"JSI R&T INSTITUTE, INC.","Zidovudine 10mg/ml [Retrovir], oral solution, Bottle, 200 ml",Zidovudine,Retrovir,10mg/ml,Oral solution,200,40,317.6,7.94,0.04,GSK Mississauga (Canada),Yes,1047.0,5869.655000000001,0.51,6187.765000000001
1,Vietnam,PMO - US,Direct Drop,EXW,Air,2008-01-21,2008-01-21,2008-01-21,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,400,3352.0,8.38,0.14,"Ranbaxy, Paonta Shahib, India",Yes,23.0,2149.05,5.36,5506.41
2,South Africa,PMO - US,Direct Drop,DDP,Air,2009-06-25,2009-04-29,2009-04-29,ARV,Adult,S. BUYS WHOLESALER,"Zidovudine 300mg [Retrovir], tablets, 60 Tabs",Zidovudine,Retrovir,300mg,Tablet,60,6000,80640.0,13.44,0.22,GSK Aranda,Yes,1047.0,5869.655000000001,158.05,86667.705
3,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-07-31,2009-04-21,2009-04-21,ARV,Pediatric,S. BUYS WHOLESALER,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,30,1080.0,36.0,0.12,ABBVIE (Abbott) Logis. UK,Yes,1047.0,5869.655000000001,2.12,6951.775000000001
4,Vietnam,PMO - US,Direct Drop,EXW,Air,2007-11-23,2007-11-23,2007-11-23,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,22500,277425.0,12.33,0.41,"Aurobindo Unit III, India",Yes,1955.0,16095.39,443.88,293964.27
5,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,2009-03-04,2009-03-04,2009-03-04,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,300mg,Test kit,20,289,7803.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,79.0,1104.69,15.29,8922.980000000001
6,South Africa,PMO - US,Direct Drop,DDP,Truck,2008-04-24,2008-04-24,2008-04-24,ARV,Adult,S. BUYS WHOLESALER,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,500,10925.0,21.85,0.73,"Aspen-OSD, Port Elizabeth, SA",No,1047.0,5869.655000000001,17.48,16812.135
7,Vietnam,PMO - US,Direct Drop,EXW,Air,2008-11-24,2008-11-24,2008-11-24,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,1100,12540.0,11.4,0.19,"Aurobindo Unit III, India",Yes,159.0,2568.6,24.58,15133.18
8,South Africa,PMO - US,Direct Drop,DDP,Truck,2008-08-25,2008-08-14,2008-08-14,ARV,Pediatric,S. BUYS WHOLESALER,"Nevirapine 10mg/ml [Viramune], oral suspension, Bottle, 240 ml",Nevirapine,Viramune,10mg/ml,Oral suspension,240,40,557.6,13.94,0.06,"BI, Ingelheim, Germany",No,1047.0,5869.655000000001,0.89,6428.145000000001
9,Zimbabwe,PMO - US,Direct Drop,CIP,Air,2009-02-03,2009-02-03,2009-02-03,HRDT,HIV test,BIOLYTICAL LABORATORIES INC.,"#109440**HIV 1/2, INSTI HIV Antibody Individual POC, 1 Test","HIV 1/2, INSTI HIV Antibody Individual POC, 1 Test",INSTi,300mg,Test kit,1,5000,12706.65,2.54,2.54,bioLytical Laboratories,Yes,1047.0,5869.655000000001,24.91,18601.215
