PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
Pre-PQ Process,SCMS-26180,ASN-2274,Vietnam,PMO - US,Direct Drop,EXW,Air,19-Sep-08,19-Sep-08,19-Sep-08,ARV,Adult,Aurobindo Pharma Limited,Nevirapine,Generic,200mg,Tablet,60,4200,12180.0,2.9,0.05,"Aurobindo Unit III, India",No,See ASN-2274 (ID#:610),See ASN-2274 (ID#:610),19.49
FPQ-12766,SO-46500,DN-3658,Rwanda,PMO - US,From RDC,N/A - From RDC,Truck,5-May-14,6-Jun-14,20-Jun-14,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,97619,452952.16,4.64,0.15,"Cipla, Kurkumbh, India",Yes,9905,5445.73,560.3
FPQ-7217,SO-39600,DN-2215,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,15-Jun-11,6-Jul-11,6-Jul-11,ARV,Adult,SCMS from RDC,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,3000,19710.0,6.57,0.22,"Aurobindo Unit III, India",Yes,263,13398.06,32.52
FPQ-10545,SO-43110,DN-2963,Tanzania,PMO - US,From RDC,N/A - From RDC,Truck,28-Feb-13,18-Feb-13,18-Feb-13,ARV,Pediatric,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,60/100/12mg,Chewable/dispersible tablet - FDC,60,10727,46126.1,4.3,0.07,"Cipla, Goa, India",Yes,945,7579.6,64.67
FPQ-4470,SO-34010,DN-1548,Uganda,PMO - US,From RDC,N/A - From RDC,Air,30-Nov-09,2-Dec-09,2-Dec-09,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,5000,28900.0,5.78,0.19,"Aurobindo Unit III, India",Yes,907,9044.65,56.64
FPQ-5648,SCMS-75750,ASN-9114,South Africa,PMO - US,Direct Drop,DDP,Ocean,1-Feb-11,1-Feb-11,1-Feb-11,ARV,Adult,Aurobindo Pharma Limited,Efavirenz,Generic,600mg,Tablet,30,118537,534601.87,4.51,0.15,"Aurobindo Unit III, India",Yes,10373,630.5,1152.6
FPQ-4106,SO-33100,DN-1421,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,30-Nov-09,30-Oct-09,30-Oct-09,ARV,Adult,SCMS from RDC,Saquinavir,Invirase,200mg,Capsule,270,168,13540.8,80.6,0.3,Roche Basel,Yes,85,1139.5,26.54
FPQ-16158,SO-51260,DN-4283,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,8-Jul-15,7-Aug-15,27-Aug-15,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,70971,547896.12,7.72,0.13,"Hetero, Jadcherla, unit 5, IN",Yes,Weight Captured Separately,Invoiced Separately,644.87
FPQ-14105,SO-48651,DN-3821,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,4-Sep-14,3-Sep-14,6-Oct-14,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,36852,240275.04,6.52,0.11,"Cipla, Goa, India",Yes,3324,4266.62,247.0
FPQ-5648,SCMS-75990,ASN-8902,South Africa,PMO - US,Direct Drop,DDP,Ocean,12-Jan-11,6-Jan-11,6-Jan-11,ARV,Adult,Aurobindo Pharma Limited,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,80381,555432.71,6.91,0.23,"Aurobindo Unit III, India",Yes,7503,6147.08,1197.51
